,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Oranjemund,0,ZA,1555901602,84,-28.55,16.43,60.3,12.21
1,Qaanaaq,100,GL,1555901604,84,77.48,-69.36,8.35,6.38
2,Caronport,0,CA,1555901195,34,50.46,-105.81,48.0,1.99
3,Arraial do Cabo,0,BR,1555901606,78,-22.97,-42.02,75.56,7.92
4,Mecca,0,SA,1555901335,50,21.43,39.83,67.97,6.78
5,Saint George,75,GR,1555897800,87,39.45,22.34,46.4,1.59
6,Mar del Plata,66,AR,1555901609,42,-46.43,-67.52,57.13,5.44
7,Pangkalanbuun,90,ID,1555901586,51,-2.68,111.62,91.85,4.52
8,Mwandiga,100,TZ,1555901611,62,-4.84,29.66,77.85,7.36
9,Puerto Ayora,85,EC,1555901133,93,-0.74,-90.35,78.01,1.01
10,Bluff,27,AU,1555901614,41,-23.58,149.07,85.68,14.41
11,Vila Franca do Campo,75,PT,1555901596,93,37.72,-25.43,59.0,8.05
12,Riyadh,0,SA,1555901563,19,24.63,46.72,71.93,16.89
13,San Julian,0,SV,1555901450,47,13.7,-89.56,82.4,2.24
14,Grand-Santi,71,GF,1555901618,98,4.27,-54.38,70.9,2.04
15,Ixtapa,75,MX,1555901142,83,20.71,-105.21,77.0,6.93
16,Hasaki,75,JP,1555901483,68,35.73,140.83,77.0,4.7
17,Namatanai,56,PG,1555901622,77,-3.66,152.44,83.52,2.89
18,Sovetskiy,82,RU,1555901623,80,56.76,48.47,43.96,4.97
19,Jamestown,0,AU,1555901624,39,-33.21,138.6,67.97,10.29
20,Putina,100,PE,1555901625,87,-14.91,-69.87,41.02,1.45
21,Rosarito,75,CO,1555898400,100,4.91,-75.23,71.6,3.42
22,Busselton,0,AU,1555901425,36,-33.64,115.35,72.0,6.62
23,Airai,38,TL,1555901629,47,-8.93,125.41,89.08,1.61
24,Ardakan,20,IR,1555898400,25,32.31,54.02,60.8,2.24
25,Prince Rupert,90,CA,1555898880,87,54.32,-130.32,44.6,17.22
26,Souillac,0,FR,1555901458,76,45.6,-0.6,55.4,2.24
27,Hilo,75,US,1555901611,61,19.71,-155.08,80.6,12.75
28,Ushuaia,40,AR,1555898400,75,-54.81,-68.31,44.6,5.82
29,Mataura,0,NZ,1555901406,72,-46.19,168.86,60.01,3.65
30,Labuhan,64,ID,1555901637,45,-2.54,115.51,94.18,2.06
31,Chernyshevskiy,64,RU,1555901638,79,63.01,112.47,28.71,3.29
32,Port-Cartier,90,CA,1555901108,100,50.03,-66.88,35.01,4.7
33,Manggar,100,ID,1555901641,70,-2.88,108.27,86.49,6.31
34,Gijon,0,ES,1555901454,81,43.54,-5.66,50.0,2.24
35,Teguise,88,ES,1555900200,72,29.06,-13.56,64.4,4.7
36,Bambanglipuro,100,ID,1555901465,74,-7.95,110.28,84.01,8.66
37,Tuktoyaktuk,40,CA,1555898400,86,69.44,-133.03,28.4,13.87
38,Los Llanos de Aridane,3,ES,1555901406,77,28.66,-17.92,62.6,3.36
39,Flinders,100,AU,1555901644,50,-34.58,150.85,82.0,5.82
40,Bredasdorp,2,ZA,1555901152,87,-34.53,20.04,61.0,8.05
41,Mount Gambier,75,AU,1555898400,54,-37.83,140.78,59.0,9.17
42,Monterey,75,US,1555901619,76,36.6,-121.89,59.0,12.75
43,Rome,0,IT,1555901465,38,41.89,12.48,62.01,6.93
44,Machala,75,EC,1555898400,88,-3.26,-79.96,89.6,3.36
45,Tiksi,93,RU,1555901654,83,71.64,128.87,27.31,8.3
46,New Norfolk,20,AU,1555901354,42,-42.78,147.06,64.99,13.87
47,Okaihau,100,NZ,1555901640,100,-35.32,173.77,68.0,1.92
48,Mahebourg,75,MU,1555901043,94,-20.41,57.7,77.0,17.22
49,Fairbanks,40,US,1555901200,27,64.84,-147.72,51.8,13.87
50,Saskylakh,100,RU,1555901660,92,71.97,114.09,6.19,9.04
51,Jaguaribe,87,BR,1555901661,99,-5.88,-38.62,72.54,3.15
52,Thompson,90,CA,1555898400,86,55.74,-97.86,30.2,1.88
53,Provideniya,20,RU,1555898400,61,64.42,-173.23,12.2,17.9
54,Rikitea,16,PF,1555901647,82,-23.12,-134.97,79.81,5.28
55,Castro,90,CL,1555898400,81,-42.48,-73.76,48.2,3.36
56,Dingle,22,PH,1555901667,29,11.0,122.67,93.2,14.23
57,Dikson,96,RU,1555901669,94,73.51,80.55,20.84,6.06
58,Gazli,0,UZ,1555901670,41,40.13,63.45,55.12,7.43
59,Tagusao,22,PH,1555901671,64,9.19,117.81,88.31,5.1
60,Novopokrovka,0,RU,1555901672,15,45.85,134.51,58.01,6.26
61,Vaini,0,IN,1555898400,60,15.34,74.49,75.2,9.17
62,Natitingou,85,BJ,1555901674,46,10.31,1.38,89.21,5.28
